Avatar Name,Head and Headwear,Eye Brows,Eyewear,Mouth and Facial Hair,Body Clothes and Accesories,Head,Eyebase,Background,Attributes
Long_Face_0_210905_,S5_HH_Sides_Black,S5_EB_Normal_Raised,S5_Pupils_Thin_EW_WireFrame,S5_Mouth_Grin_Amish,S5_BCA_ShirttWhite_BlueBow,S5_Head,S5_EyeBase,S5_BACKGROUND_Chinese,S5_HH_Sides_Black_S5_EB_Normal_Raised_S5_Pupils_Thin_EW_WireFrame_S5_Mouth_Grin_Amish_S5_BCA_ShirttWhite_BlueBow_S5_Head_S5_EyeBase_S5_BACKGROUND_Chinese
Long_Face_1_210905_,S2_HH_Bald_Bowler_Blue,S2_EB_Thick_SingleRaise,S2_Pupils_Thin_EW_Sunnies,S2_Mouth_Annoyance_Big_Clean,S2_BCA_ShirtWhite_Open_BlueSuspenders,S2_Head,S2_EyeBase,S2_BACKGROUND_Chinese,S2_HH_Bald_Bowler_Blue_S2_EB_Thick_SingleRaise_S2_Pupils_Thin_EW_Sunnies_S2_Mouth_Annoyance_Big_Clean_S2_BCA_ShirtWhite_Open_BlueSuspenders_S2_Head_S2_EyeBase_S2_BACKGROUND_Chinese
Long_Face_2_210905_,S6_HH_Bald_Bowler,S6_EB_Normal_Closer,S6_Pupils_Thin_EW_WireFrame,S6_Mouth_Smile_Big_Amish,S6_BCA_Nude,S6_Head,S6_EyeBase,S6_Background_Cracks,S6_HH_Bald_Bowler_S6_EB_Normal_Closer_S6_Pupils_Thin_EW_WireFrame_S6_Mouth_Smile_Big_Amish_S6_BCA_Nude_S6_Head_S6_EyeBase_S6_Background_Cracks
Long_Face_3_210905_,S7_HH_Sides_White_THB,S7_EB_Thick_SingleRaise,S7_Pupils_Normal_EW_Eyepatch2,S7_Mouth_Perfect_Oh_RoundB,S7_BCA_ShirtWhite_Open,S7_HEAD,S7_EyeBase,S7_BACKGROUND_Broadcast_White,S7_HH_Sides_White_THB_S7_EB_Thick_SingleRaise_S7_Pupils_Normal_EW_Eyepatch2_S7_Mouth_Perfect_Oh_RoundB_S7_BCA_ShirtWhite_Open_S7_HEAD_S7_EyeBase_S7_BACKGROUND_Broadcast_White
Long_Face_4_210905_,S2_HH_CrazyHair_White_THB,S2_EB_Normal_Raised,S2_Pupils_Dilated_EW_Base,S2_Mouth_Indifferent_Bigger_Unshaved,S2_BCA_Turtleneck_Blue,S2_Head,S2_EyeBase,S2_BACKGROUND_Plain_PINK,S2_HH_CrazyHair_White_THB_S2_EB_Normal_Raised_S2_Pupils_Dilated_EW_Base_S2_Mouth_Indifferent_Bigger_Unshaved_S2_BCA_Turtleneck_Blue_S2_Head_S2_EyeBase_S2_BACKGROUND_Plain_PINK
Long_Face_6_210905_,S6_HH_CornRows_THB,S6_EB_Normal_Raised,S6_Pupils_Normal_EW_Monocle,S6_Mouth_Perfect_Oh_Curlies,S6_BCA_ShirtBlack_BlueBow,S6_Head,S6_EyeBase,S6_BACKGROUND_ChineseReversed,S6_HH_CornRows_THB_S6_EB_Normal_Raised_S6_Pupils_Normal_EW_Monocle_S6_Mouth_Perfect_Oh_Curlies_S6_BCA_ShirtBlack_BlueBow_S6_Head_S6_EyeBase_S6_BACKGROUND_ChineseReversed
Long_Face_7_210905_,S5_HH_Chic_Part_Blond_THB,S5_EB_Thick_Raised,S5_Pupils_Dilated_EW_Monocle,S5_Mouth_Annoyance_Big_Manicured,S5_BCA_Nude_TattooBling,S5_Head,S5_EyeBase,S5_BACKGROUND_ChineseReversed,S5_HH_Chic_Part_Blond_THB_S5_EB_Thick_Raised_S5_Pupils_Dilated_EW_Monocle_S5_Mouth_Annoyance_Big_Manicured_S5_BCA_Nude_TattooBling_S5_Head_S5_EyeBase_S5_BACKGROUND_ChineseReversed
Long_Face_8_210905_,S7_HH_CornRows_THB,S7_EB_Thick_Questioning,S7_Pupils_Thin_EW_BlueFrame,S7_Mouth_UhOh_Big_Clean,S7_BCA_ShirtWhite_WhiteSuspenders,S7_HEAD,S7_EyeBase,S7_BACKGROUND_Japanese2,S7_HH_CornRows_THB_S7_EB_Thick_Questioning_S7_Pupils_Thin_EW_BlueFrame_S7_Mouth_UhOh_Big_Clean_S7_BCA_ShirtWhite_WhiteSuspenders_S7_HEAD_S7_EyeBase_S7_BACKGROUND_Japanese2
Long_Face_9_210905_,S3_HH_Bald_SkullCap,S3_EB_Thick_Questioning,S3_Pupils_Dilated_EW_AgentDark,S3_Mouth_Grin_Amish,S3_BCA_ShirtWhite_Open_WhiteSuspenders,S3_HEAD,S3_EyeBase,S3_BACKGROUND_Plain_Yellow,S3_HH_Bald_SkullCap_S3_EB_Thick_Questioning_S3_Pupils_Dilated_EW_AgentDark_S3_Mouth_Grin_Amish_S3_BCA_ShirtWhite_Open_WhiteSuspenders_S3_HEAD_S3_EyeBase_S3_BACKGROUND_Plain_Yellow
Long_Face_11_210905_,S7_HH_Centre_Part_Ginger,S7_EB_Thick_Cross,S7_Pupils_Normal_EW_Eyepatch1,S7_Mouth_Indifferent_Bigger_FrenchB,S7_BCA_ShirtBlack_BlueBow,S7_HEAD,S7_EyeBase,S7_Background_OchreLines,S7_HH_Centre_Part_Ginger_S7_EB_Thick_Cross_S7_Pupils_Normal_EW_Eyepatch1_S7_Mouth_Indifferent_Bigger_FrenchB_S7_BCA_ShirtBlack_BlueBow_S7_HEAD_S7_EyeBase_S7_Background_OchreLines
Long_Face_12_210905_,S4_HH_Bald_Bowler_Feather,S4_EB_Thick_Cross,S4_Pupils_Dilated_EW_AgentDark,S4_Mouth_Indifferent_Line_Clean,S4_BCA_Nude_Bling,S4_HEAD,S4_EyeBase,S4_Background_PinkSilk,S4_HH_Bald_Bowler_Feather_S4_EB_Thick_Cross_S4_Pupils_Dilated_EW_AgentDark_S4_Mouth_Indifferent_Line_Clean_S4_BCA_Nude_Bling_S4_HEAD_S4_EyeBase_S4_Background_PinkSilk
Long_Face_14_210905_,S7_HH_CrewCut_Black_SkullCap,S7_EB_Thick_Closer,S7_Pupils_Thin_EW_TurtleFrame,S7_Mouth_Indifferent_Handlebars_SP,S7_BCA_ShirtWhite_WhiteSuspenders,S7_HEAD,S7_EyeBase,S7_BACKGROUND_Broadcast_Red,S7_HH_CrewCut_Black_SkullCap_S7_EB_Thick_Closer_S7_Pupils_Thin_EW_TurtleFrame_S7_Mouth_Indifferent_Handlebars_SP_S7_BCA_ShirtWhite_WhiteSuspenders_S7_HEAD_S7_EyeBase_S7_BACKGROUND_Broadcast_Red
Long_Face_15_210905_,S3_HH_CornRows,S3_EB_Normal_Questioning,S3_Pupils_Normal_EW_Eyepatch1,S3_Mouth_Smile_Curlies,S3_BCA_ShirtOffWhite_OrangeBow,S3_HEAD,S3_EyeBase,S3_Background_Within,S3_HH_CornRows_S3_EB_Normal_Questioning_S3_Pupils_Normal_EW_Eyepatch1_S3_Mouth_Smile_Curlies_S3_BCA_ShirtOffWhite_OrangeBow_S3_HEAD_S3_EyeBase_S3_Background_Within
Long_Face_16_210905_,S2_HH_Afro,S2_EB_Normal_Closer,S2_Pupils_Dilated_EW_Monocle,S2_Mouth_Perfect_Oh_Manicured,S2_BCA_ShirtBlack_PolkaBow,S2_Head,S2_EyeBase,S2_BACKGROUND_Broadcast_Red,S2_HH_Afro_S2_EB_Normal_Closer_S2_Pupils_Dilated_EW_Monocle_S2_Mouth_Perfect_Oh_Manicured_S2_BCA_ShirtBlack_PolkaBow_S2_Head_S2_EyeBase_S2_BACKGROUND_Broadcast_Red
Long_Face_17_210905_,S2_HH_Hippie_Ginger_THB,S2_EB_Thick_SingleRaise,S2_Pupils_Dilated_EW_WireFrame,S2_Mouth_Indifferent_Line_Clean,S2_BCA_ShirtWhite_Open_BlueSuspenders,S2_Head,S2_EyeBase,S2_BACKGROUND_Broadcast_White,S2_HH_Hippie_Ginger_THB_S2_EB_Thick_SingleRaise_S2_Pupils_Dilated_EW_WireFrame_S2_Mouth_Indifferent_Line_Clean_S2_BCA_ShirtWhite_Open_BlueSuspenders_S2_Head_S2_EyeBase_S2_BACKGROUND_Broadcast_White
